read_name	start	end	element	mapq	strand	element_len	read_len	num_of_units	ref	ref_start	ref_end
a611c0d0-c0f3-463f-8ac8-46d570b091bb	10374	11187	p13E-11	60	+	813	131727	1	p13E11	0	820
a611c0d0-c0f3-463f-8ac8-46d570b091bb	11294	12167	D4Z4_unit	60	+	873	131727	28	D4Z4_KpnI	2382	3294
a611c0d0-c0f3-463f-8ac8-46d570b091bb	11295	11954	DUX4	60	+	659	131727	39	DUX4_mRNA_genbankAF117653.3_exon1	688	1380
a611c0d0-c0f3-463f-8ac8-46d570b091bb	12085	12174	DUX4	6	+	89	131727	39	DUX4_mRNA_genbankAF117653.3_exon2	0	90
a611c0d0-c0f3-463f-8ac8-46d570b091bb	12169	15375	D4Z4_unit	60	+	3206	131727	28	D4Z4_KpnI	0	3296
a611c0d0-c0f3-463f-8ac8-46d570b091bb	13829	15164	DUX4	60	+	1335	131727	39	DUX4_mRNA_genbankAF117653.3_exon1	5	1380
a611c0d0-c0f3-463f-8ac8-46d570b091bb	13889	13895	XapI	*	*	6	131727	95	*	*	*
a611c0d0-c0f3-463f-8ac8-46d570b091bb	15375	18632	D4Z4_unit	60	+	3257	131727	28	D4Z4_KpnI	0	3296
a611c0d0-c0f3-463f-8ac8-46d570b091bb	17069	18401	DUX4	60	+	1332	131727	39	DUX4_mRNA_genbankAF117653.3_exon1	17	1379
a611c0d0-c0f3-463f-8ac8-46d570b091bb	18548	18554	BlnI	*	*	6	131727	19	*	*	*
a611c0d0-c0f3-463f-8ac8-46d570b091bb	18668	21844	D4Z4_unit	60	+	3176	131727	28	D4Z4_KpnI	40	3290
a611c0d0-c0f3-463f-8ac8-46d570b091bb	20321	21624	DUX4	60	+	1303	131727	39	DUX4_mRNA_genbankAF117653.3_exon1	7	1380
a611c0d0-c0f3-463f-8ac8-46d570b091bb	21854	25076	D4Z4_unit	60	+	3222	131727	28	D4Z4_KpnI	5	3289
a611c0d0-c0f3-463f-8ac8-46d570b091bb	23497	24864	DUX4	60	+	1367	131727	39	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
a611c0d0-c0f3-463f-8ac8-46d570b091bb	23567	23573	XapI	*	*	6	131727	95	*	*	*
a611c0d0-c0f3-463f-8ac8-46d570b091bb	24999	25077	DUX4	34	+	78	131727	39	DUX4_mRNA_genbankAF117653.3_exon2	0	79
a611c0d0-c0f3-463f-8ac8-46d570b091bb	25086	28345	D4Z4_unit	60	+	3259	131727	28	D4Z4_KpnI	5	3296
