read_name	start	end	element	mapq	strand	element_len	read_len	num_of_units	ref	ref_start	ref_end
4q_hap2	17601	18418	p13E-11	60	+	817	132926	1	p13E11	0	820
4q_hap2	18529	19440	D4Z4_unit	60	+	911	132926	28	D4Z4_KpnI	2380	3296
4q_hap2	18530	19219	DUX4	60	+	689	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	686	1380
4q_hap2	19355	19447	DUX4	49	+	92	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	19440	22689	D4Z4_unit	60	+	3249	132926	28	D4Z4_KpnI	0	3278
4q_hap2	21107	22482	DUX4	60	+	1375	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	21180	21186	XapI	*	*	6	132926	97	*	*	*
4q_hap2	22703	25975	D4Z4_unit	60	+	3272	132926	28	D4Z4_KpnI	0	3290
4q_hap2	23834	23840	BlnI	*	*	6	132926	15	*	*	*
4q_hap2	24392	25762	DUX4	60	+	1370	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	24467	24473	XapI	*	*	6	132926	97	*	*	*
4q_hap2	25897	25992	DUX4	5	+	95	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	25985	29289	D4Z4_unit	60	+	3304	132926	28	D4Z4_KpnI	0	3296
4q_hap2	27682	29063	DUX4	60	+	1381	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	27753	27759	XapI	*	*	6	132926	97	*	*	*
4q_hap2	29201	29296	DUX4	6	+	95	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	29289	32590	D4Z4_unit	60	+	3301	132926	28	D4Z4_KpnI	0	3296
4q_hap2	30989	32367	DUX4	60	+	1378	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	31062	31068	XapI	*	*	6	132926	97	*	*	*
4q_hap2	32504	32597	DUX4	41	+	93	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	32590	35876	D4Z4_unit	60	+	3286	132926	28	D4Z4_KpnI	0	3289
4q_hap2	34296	35666	DUX4	60	+	1370	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	34372	34378	XapI	*	*	6	132926	97	*	*	*
4q_hap2	35881	39174	D4Z4_unit	60	+	3293	132926	28	D4Z4_KpnI	0	3296
4q_hap2	37575	38951	DUX4	60	+	1376	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	37648	37654	XapI	*	*	6	132926	97	*	*	*
4q_hap2	39174	42463	D4Z4_unit	60	+	3289	132926	28	D4Z4_KpnI	0	3296
4q_hap2	40873	42241	DUX4	60	+	1368	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	40947	40953	XapI	*	*	6	132926	97	*	*	*
4q_hap2	42385	42470	DUX4	52	+	85	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	7	92
4q_hap2	42463	45771	D4Z4_unit	60	+	3308	132926	28	D4Z4_KpnI	0	3296
4q_hap2	44153	45550	DUX4	60	+	1397	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	44227	44233	XapI	*	*	6	132926	97	*	*	*
4q_hap2	45686	45778	DUX4	60	+	92	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	45771	49064	D4Z4_unit	60	+	3293	132926	28	D4Z4_KpnI	0	3296
4q_hap2	47476	48841	DUX4	60	+	1365	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	47544	47550	XapI	*	*	6	132926	97	*	*	*
4q_hap2	48977	49071	DUX4	6	+	94	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	49064	52357	D4Z4_unit	60	+	3293	132926	28	D4Z4_KpnI	0	3296
4q_hap2	50756	52134	DUX4	60	+	1378	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	50830	50836	XapI	*	*	6	132926	97	*	*	*
4q_hap2	52271	52364	DUX4	60	+	93	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	52357	55641	D4Z4_unit	60	+	3284	132926	28	D4Z4_KpnI	0	3293
4q_hap2	54044	55419	DUX4	60	+	1375	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	54117	54123	XapI	*	*	6	132926	97	*	*	*
4q_hap2	54736	54742	BlnI	*	*	6	132926	15	*	*	*
4q_hap2	55559	55642	DUX4	60	+	83	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	83
4q_hap2	55644	58939	D4Z4_unit	60	+	3295	132926	28	D4Z4_KpnI	0	3296
4q_hap2	57343	58718	DUX4	60	+	1375	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	57417	57423	XapI	*	*	6	132926	97	*	*	*
4q_hap2	58604	58610	BlnI	*	*	6	132926	15	*	*	*
4q_hap2	58854	58946	DUX4	60	+	92	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	58939	62231	D4Z4_unit	60	+	3292	132926	28	D4Z4_KpnI	0	3296
4q_hap2	60638	62011	DUX4	60	+	1373	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	60711	60717	XapI	*	*	6	132926	97	*	*	*
4q_hap2	62146	62238	DUX4	60	+	92	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	62231	65531	D4Z4_unit	60	+	3300	132926	28	D4Z4_KpnI	0	3296
4q_hap2	63933	65310	DUX4	60	+	1377	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	64006	64012	XapI	*	*	6	132926	97	*	*	*
4q_hap2	65445	65538	DUX4	42	+	93	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	65531	68843	D4Z4_unit	60	+	3312	132926	28	D4Z4_KpnI	0	3296
4q_hap2	67244	68624	DUX4	60	+	1380	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	67315	67321	XapI	*	*	6	132926	97	*	*	*
4q_hap2	68758	68850	DUX4	60	+	92	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	68843	72109	D4Z4_unit	60	+	3266	132926	28	D4Z4_KpnI	0	3296
4q_hap2	70537	71894	DUX4	60	+	1357	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	70612	70618	XapI	*	*	6	132926	97	*	*	*
4q_hap2	72025	72116	DUX4	34	+	91	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	72109	75428	D4Z4_unit	60	+	3319	132926	28	D4Z4_KpnI	0	3296
4q_hap2	73813	75200	DUX4	60	+	1387	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	73886	73892	XapI	*	*	6	132926	97	*	*	*
4q_hap2	75344	75435	DUX4	56	+	91	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	75428	78741	D4Z4_unit	60	+	3313	132926	28	D4Z4_KpnI	0	3296
4q_hap2	76660	76666	BlnI	*	*	6	132926	15	*	*	*
4q_hap2	77137	78520	DUX4	60	+	1383	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	77211	77217	XapI	*	*	6	132926	97	*	*	*
4q_hap2	78656	78748	DUX4	60	+	92	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	78741	82042	D4Z4_unit	60	+	3301	132926	28	D4Z4_KpnI	0	3296
4q_hap2	80440	81819	DUX4	60	+	1379	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	81955	82049	DUX4	50	+	94	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	82042	85334	D4Z4_unit	60	+	3292	132926	28	D4Z4_KpnI	0	3296
4q_hap2	83728	85100	DUX4	60	+	1372	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	85334	88617	D4Z4_unit	60	+	3283	132926	28	D4Z4_KpnI	0	3296
4q_hap2	87026	88399	DUX4	60	+	1373	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
4q_hap2	87097	87103	XapI	*	*	6	132926	97	*	*	*
4q_hap2	88534	88624	DUX4	49	+	90	132926	51	DUX4_mRNA_genbankAF117653.3_exon2	0	92
4q_hap2	88617	91901	D4Z4_unit	60	+	3284	132926	28	D4Z4_KpnI	0	3296
4q_hap2	90303	91686	DUX4	60	+	1383	132926	51	DUX4_mRNA_genbankAF117653.3_exon1	0	1380
