"haplotype"	"feature"	"strand"	"start"	"end"	"mean_methy_prob"	"mean_methy_rate"	"RU"
"10q_hap1"	"D4Z4_unit"	"+"	138683	141973	0.323637069589312	0.316381638163816	1
"10q_hap1"	"D4Z4_unit"	"+"	141973	145270	0.399391389484269	0.392262708052182	2
"10q_hap1"	"D4Z4_unit"	"+"	145270	148584	0.503207913796149	0.504954954954955	3
"10q_hap1"	"D4Z4_unit"	"+"	148584	151894	0.536512127292569	0.537253141831239	4
"10q_hap1"	"D4Z4_unit"	"+"	151894	155206	0.576039743251561	0.578923766816144	5
"10q_hap1"	"D4Z4_unit"	"+"	155206	158515	0.590076572389678	0.599548532731377	6
"10q_hap1"	"D4Z4_unit"	"+"	158515	161828	0.614689781021898	0.621350364963504	7
"10q_hap1"	"D4Z4_unit"	"+"	161828	165138	0.627076568183835	0.63393665158371	8
"10q_hap1"	"D4Z4_unit"	"+"	165138	168440	0.675158377856339	0.68504292815183	9
"10q_hap1"	"D4Z4_unit"	"+"	168440	171749	0.703286088686704	0.707197139025481	10
"10q_hap1"	"D4Z4_unit"	"+"	171749	175047	0.707497947400482	0.716794236830257	11
"10q_hap1"	"D4Z4_unit"	"+"	175047	178357	0.722393761775173	0.729982206405694	12
"10q_hap1"	"D4Z4_unit"	"+"	178357	181659	0.735023214083501	0.751221679253665	13
"10q_hap1"	"D4Z4_unit"	"+"	181659	184961	0.682577182156068	0.693381359747861	14
"10q_hap1"	"D4Z4_unit"	"+"	184961	188267	0.747043922620456	0.75592311130979	15
"10q_hap1"	"D4Z4_unit"	"+"	188267	191569	0.749489987021019	0.765437583296313	16
"10q_hap1"	"D4Z4_unit"	"+"	191569	194857	0.744196409145105	0.758988015978695	17
"10q_hap1"	"D4Z4_unit"	"+"	194857	198159	0.769306456759919	0.78119349005425	18
"10q_hap1"	"D4Z4_unit"	"+"	198159	201449	0.707146085384508	0.720744680851064	19
"10q_hap1"	"D4Z4_unit"	"+"	201449	204753	0.766028333201264	0.782667265379434	20
"10q_hap1"	"D4Z4_unit"	"+"	204753	208059	0.768724708661144	0.784322409211692	21
